incident_id,timestamp,tool_id,product_id,line_id,input_units,good_units,scrap_units,rework_units,planned_minutes,downtime_minutes,unit_cost_proxy,unit_price_proxy,downtime_cost_per_min,event_type,event_note
INC-ALPHA-2026-01,2026-01-10T06:00:00Z,TOOL-01,PROD-A2,LINE-2,139,134,4,1,110,13,2.6,8.34,25.05,normal_run,Nominal output achieved across planned production window
INC-ALPHA-2026-01,2026-01-10T07:57:00Z,TOOL-12,PROD-D1,LINE-3,151,142,2,7,146,3,1.96,3.87,26.03,normal_run,Nominal output achieved across planned production window
INC-ALPHA-2026-01,2026-01-10T10:26:00Z,TOOL-12,PROD-D2,LINE-5,111,103,6,2,201,9,5.65,9.77,26.4,normal_run,Run completed without interruption or escalation required
INC-ALPHA-2026-01,2026-01-10T13:51:00Z,TOOL-01,PROD-F1,LINE-2,154,139,9,6,85,12,2.89,8.86,13.49,normal_run,Steady throughput observed across the full planned window
INC-ALPHA-2026-01,2026-01-10T15:26:00Z,TOOL-12,PROD-F1,LINE-1,235,219,9,7,122,5,3.81,6.39,28.06,micro_stop,Conveyor jam cleared quickly by line operator on site
INC-ALPHA-2026-01,2026-01-10T17:40:00Z,TOOL-01,PROD-B2,LINE-1,160,154,4,2,205,10,2.56,7.52,27,micro_stop,Conveyor jam cleared quickly by line operator on site
INC-ALPHA-2026-01,2026-01-10T21:15:00Z,TOOL-03,PROD-B2,LINE-5,217,178,23,16,209,45,3.31,11.98,7.6,calibration_drift,Sensor reading drifted outside control limit during mid-run
INC-ALPHA-2026-01,2026-01-11T00:49:00Z,TOOL-03,PROD-F1,LINE-2,188,177,7,4,212,14,4.15,11.79,26.38,normal_run,Run completed without interruption or escalation required
INC-ALPHA-2026-01,2026-01-11T04:26:00Z,TOOL-11,PROD-E1,LINE-3,167,141,15,11,176,20,6.27,11.35,10.85,calibration_drift,Calibration check triggered after consecutive out-of-spec readings
INC-ALPHA-2026-01,2026-01-11T07:40:00Z,TOOL-02,PROD-F4,LINE-3,209,198,8,3,101,0,4.49,8.42,6.91,normal_run,Nominal output achieved across planned production window
INC-ALPHA-2026-01,2026-01-11T09:32:00Z,TOOL-04,PROD-A1,LINE-2,225,210,12,3,184,2,6.39,9.61,7.27,micro_stop,Operator-initiated pause to clear accumulated scrap tray
INC-ALPHA-2026-01,2026-01-11T12:43:00Z,TOOL-05,PROD-E1,LINE-5,188,170,10,8,236,6,5.06,8.13,21.46,normal_run,All quality checks passed within acceptable tolerances
INC-ALPHA-2026-01,2026-01-11T16:55:00Z,TOOL-02,PROD-B2,LINE-2,96,91,2,3,118,7,1.54,9.37,5.53,normal_run,Production running within all spec parameters today
INC-ALPHA-2026-01,2026-01-11T19:05:00Z,TOOL-02,PROD-E1,LINE-2,151,143,6,2,93,15,2.71,7.37,14.58,normal_run,Run completed without interruption or escalation required
INC-ALPHA-2026-01,2026-01-11T20:53:00Z,TOOL-06,PROD-D1,LINE-4,199,187,10,2,227,3,1.8,9.55,24.82,normal_run,Steady throughput observed across the full planned window
INC-ALPHA-2026-01,2026-01-12T00:48:00Z,TOOL-09,PROD-D2,LINE-2,188,180,3,5,79,14,5.54,11.14,6.55,micro_stop,Operator-initiated pause to clear accumulated scrap tray
INC-ALPHA-2026-01,2026-01-12T02:09:00Z,TOOL-02,PROD-F3,LINE-2,122,116,3,3,162,1,2.32,3.02,14.15,maintenance_hold,Line held for bearing replacement on primary drive motor
INC-ALPHA-2026-01,2026-01-12T05:02:00Z,TOOL-07,PROD-F2,LINE-5,204,197,3,4,74,1,5.24,6.1,19.19,normal_run,Nominal output achieved across planned production window
INC-ALPHA-2026-01,2026-01-12T06:34:00Z,TOOL-03,PROD-A1,LINE-5,100,94,5,1,77,7,3.52,11.53,18.81,normal_run,Production running within all spec parameters today
INC-ALPHA-2026-01,2026-01-12T07:55:00Z,TOOL-07,PROD-F1,LINE-5,224,206,8,10,112,10,2.69,6.68,21.46,normal_run,No anomalies detected during this run cycle
INC-ALPHA-2026-01,2026-01-12T09:51:00Z,TOOL-01,PROD-D2,LINE-5,224,209,13,2,114,8,2.16,6.14,5.79,normal_run,No anomalies detected during this run cycle
INC-ALPHA-2026-01,2026-01-12T11:52:00Z,TOOL-08,PROD-F4,LINE-5,157,144,6,7,227,0,4.84,9.03,28.23,normal_run,Steady throughput observed across the full planned window
INC-ALPHA-2026-01,2026-01-12T15:49:00Z,TOOL-02,PROD-A2,LINE-5,119,98,12,9,147,33,4.94,11.04,17.14,micro_stop,Micro stop logged during transition between product lots
INC-ALPHA-2026-01,2026-01-12T18:19:00Z,TOOL-02,PROD-F1,LINE-4,150,146,1,3,93,8,2.31,6.98,22.35,normal_run,Production running within all spec parameters today
INC-ALPHA-2026-01,2026-01-12T19:56:00Z,TOOL-12,PROD-B1,LINE-5,89,83,4,2,97,13,2.14,5.77,27.37,material_shortage,Substrate lot delayed from incoming inspection hold status
INC-ALPHA-2026-01,2026-01-12T21:46:00Z,TOOL-04,PROD-F1,LINE-2,106,101,2,3,164,4,6.13,7.9,8.23,material_shortage,Line paused awaiting replenishment of component reel stock
INC-ALPHA-2026-01,2026-01-13T00:45:00Z,TOOL-01,PROD-B1,LINE-3,185,140,29,16,123,37,2.3,9.31,13.95,normal_run,Operator confirmed line stable through end of shift
INC-ALPHA-2026-01,2026-01-13T02:57:00Z,TOOL-04,PROD-F4,LINE-4,169,158,4,7,118,7,1.62,4.74,12.53,calibration_drift,Tool calibration drift detected by SPC monitoring system alert
INC-ALPHA-2026-01,2026-01-13T05:08:00Z,TOOL-11,PROD-E1,LINE-4,217,184,24,9,126,31,4.4,11.88,4.99,maintenance_hold,Tool flagged for maintenance after alarm threshold was reached
INC-ALPHA-2026-01,2026-01-13T07:26:00Z,TOOL-07,PROD-E2,LINE-5,109,103,3,3,125,1,5.04,5.55,28.06,normal_run,Run completed without interruption or escalation required
INC-ALPHA-2026-01,2026-01-13T09:39:00Z,TOOL-06,PROD-D1,LINE-1,164,153,6,5,91,9,4.04,9.52,12.48,micro_stop,Operator-initiated pause to clear accumulated scrap tray
INC-ALPHA-2026-01,2026-01-13T11:16:00Z,TOOL-04,PROD-D1,LINE-4,124,117,5,2,200,0,3.02,5.3,24.43,normal_run,No anomalies detected during this run cycle
INC-ALPHA-2026-01,2026-01-13T14:52:00Z,TOOL-08,PROD-D2,LINE-2,210,194,7,9,103,2,2.92,9.12,20.1,normal_run,Nominal output achieved across planned production window
INC-ALPHA-2026-01,2026-01-13T16:44:00Z,TOOL-11,PROD-C1,LINE-2,130,127,2,1,181,2,3.78,11.12,18.97,micro_stop,Minor sensor trigger caused momentary line hold
INC-ALPHA-2026-01,2026-01-13T20:02:00Z,TOOL-07,PROD-B2,LINE-2,81,74,4,3,87,13,2.59,10.25,22.09,normal_run,All quality checks passed within acceptable tolerances
